measurement_id,timestamp,panjang_cm,lebar_cm,tinggi_cm,volume_cm3,berat_volumetrik_g,berat_aktual_g,chargeable_weight_g,chargeable_weight_kg,chargeable_source,actual_weight_range_g,detection_mode,detection_image,mask_image,json_file
integrated_20260521_021842_731502,2026-05-21 02:18:42,6.073,5.981,6.476,235.227,39.205,271.888,271.888,0.271888,actual,0.241,hsv_cardboard,hasil_tahap14/archive/detection_20260521_021842_731502.jpg,hasil_tahap14/archive/mask_20260521_021842_731502.jpg,hasil_tahap14/archive/integrated_20260521_021842_731502.json
integrated_20260521_021857_088590,2026-05-21 02:18:57,8.703,8.527,3.871,287.264,47.877,316.113,316.113,0.316113,actual,0.354,hsv_cardboard,hasil_tahap14/archive/detection_20260521_021857_088590.jpg,hasil_tahap14/archive/mask_20260521_021857_088590.jpg,hasil_tahap14/archive/integrated_20260521_021857_088590.json
integrated_20260521_030910_348178,2026-05-21 03:09:10,6.347,6.063,5.614,215.881,35.98,282.72,282.72,0.28272,actual,0.541,hsv_cardboard,hasil_tahap14/archive/detection_20260521_030910_348178.jpg,hasil_tahap14/archive/mask_20260521_030910_348178.jpg,hasil_tahap14/archive/integrated_20260521_030910_348178.json
integrated_20260521_030923_386244,2026-05-21 03:09:23,10.291,8.689,5.319,475.629,79.271,583.512,583.512,0.583512,actual,0.699,hsv_cardboard,hasil_tahap14/archive/detection_20260521_030923_386244.jpg,hasil_tahap14/archive/mask_20260521_030923_386244.jpg,hasil_tahap14/archive/integrated_20260521_030923_386244.json
integrated_20260521_030941_834892,2026-05-21 03:09:41,8.875,8.67,3.573,274.956,45.826,330.491,330.491,0.330491,actual,0.38,hsv_cardboard,hasil_tahap14/archive/detection_20260521_030941_834892.jpg,hasil_tahap14/archive/mask_20260521_030941_834892.jpg,hasil_tahap14/archive/integrated_20260521_030941_834892.json
integrated_20260521_125301_689368,2026-05-21 12:53:01,10.603,8.519,4.491,405.672,67.612,596.079,596.079,0.596079,actual,0.829,hsv_cardboard,hasil_tahap14/archive/detection_20260521_125301_689368.jpg,hasil_tahap14/archive/mask_20260521_125301_689368.jpg,hasil_tahap14/archive/integrated_20260521_125301_689368.json
integrated_20260521_125349_947261,2026-05-21 12:53:49,6.136,6.018,6.235,230.238,38.373,290.19,290.19,0.29019,actual,0.39,hsv_cardboard,hasil_tahap14/archive/detection_20260521_125349_947261.jpg,hasil_tahap14/archive/mask_20260521_125349_947261.jpg,hasil_tahap14/archive/integrated_20260521_125349_947261.json
integrated_20260521_125609_957542,2026-05-21 12:56:09,10.548,8.53,4.49,404.051,67.342,594.581,594.581,0.594581,actual,0.966,hsv_cardboard,hasil_tahap14/archive/detection_20260521_125609_957542.jpg,hasil_tahap14/archive/mask_20260521_125609_957542.jpg,hasil_tahap14/archive/integrated_20260521_125609_957542.json
integrated_20260521_125649_543714,2026-05-21 12:56:49,8.855,4.529,2.439,97.905,16.318,343.705,343.705,0.343705,actual,0.246,hsv_cardboard,hasil_tahap14/archive/detection_20260521_125649_543714.jpg,hasil_tahap14/archive/mask_20260521_125649_543714.jpg,hasil_tahap14/archive/integrated_20260521_125649_543714.json
integrated_20260521_125703_357852,2026-05-21 12:57:03,8.525,7.625,3.616,235.111,39.185,347.305,347.305,0.347305,actual,0.534,hsv_cardboard,hasil_tahap14/archive/detection_20260521_125703_357852.jpg,hasil_tahap14/archive/mask_20260521_125703_357852.jpg,hasil_tahap14/archive/integrated_20260521_125703_357852.json
integrated_20260521_125750_556262,2026-05-21 12:57:50,10.03,8.436,5.348,452.504,75.417,608.468,608.468,0.608468,actual,0.569,hsv_cardboard,hasil_tahap14/archive/detection_20260521_125750_556262.jpg,hasil_tahap14/archive/mask_20260521_125750_556262.jpg,hasil_tahap14/archive/integrated_20260521_125750_556262.json
integrated_20260521_130219_234799,2026-05-21 13:02:19,10.851,8.684,11.735,1105.798,184.3,1883.39,1883.39,1.88339,actual,0.671,hsv_cardboard,hasil_tahap14/archive/detection_20260521_130219_234799.jpg,hasil_tahap14/archive/mask_20260521_130219_234799.jpg,hasil_tahap14/archive/integrated_20260521_130219_234799.json
integrated_20260521_130745_707405,2026-05-21 13:07:45,6.033,5.968,6.224,224.102,37.35,288.477,288.477,0.288477,actual,0.373,hsv_cardboard,hasil_tahap14/archive/detection_20260521_130745_707405.jpg,hasil_tahap14/archive/mask_20260521_130745_707405.jpg,hasil_tahap14/archive/integrated_20260521_130745_707405.json
integrated_20260521_130831_306758,2026-05-21 13:08:31,11.95,10.535,8.561,1077.826,179.638,1902.284,1902.284,1.902284,actual,1.122,hsv_cardboard,hasil_tahap14/archive/detection_20260521_130831_306758.jpg,hasil_tahap14/archive/mask_20260521_130831_306758.jpg,hasil_tahap14/archive/integrated_20260521_130831_306758.json
integrated_20260521_131003_691284,2026-05-21 13:10:03,6.044,5.936,6.24,223.897,37.316,287.301,287.301,0.287301,actual,0.439,hsv_cardboard,hasil_tahap14/archive/detection_20260521_131003_691284.jpg,hasil_tahap14/archive/mask_20260521_131003_691284.jpg,hasil_tahap14/archive/integrated_20260521_131003_691284.json
integrated_20260521_131018_272550,2026-05-21 13:10:18,11.983,10.609,8.565,1088.821,181.47,1896.238,1896.238,1.896238,actual,1.382,hsv_cardboard,hasil_tahap14/archive/detection_20260521_131018_272550.jpg,hasil_tahap14/archive/mask_20260521_131018_272550.jpg,hasil_tahap14/archive/integrated_20260521_131018_272550.json
integrated_20260521_195942_742811,2026-05-21 19:59:42,6.204,6.11,6.498,246.332,41.055,281.311,281.311,0.281311,actual,1.153,hsv_cardboard,hasil_tahap14/archive/detection_20260521_195942_742811.jpg,hasil_tahap14/archive/mask_20260521_195942_742811.jpg,hasil_tahap14/archive/integrated_20260521_195942_742811.json
integrated_20260521_200153_912994,2026-05-21 20:01:53,10.214,8.848,5.039,455.398,75.9,204.308,204.308,0.204308,actual,0.685,hsv_cardboard,hasil_tahap14/archive/detection_20260521_200153_912994.jpg,hasil_tahap14/archive/mask_20260521_200153_912994.jpg,hasil_tahap14/archive/integrated_20260521_200153_912994.json
integrated_20260521_201531_889793,2026-05-21 20:15:31,10.622,8.866,4.452,419.284,69.881,216.642,216.642,0.216642,actual,0.411,hsv_cardboard,hasil_tahap14/archive/detection_20260521_201531_889793.jpg,hasil_tahap14/archive/mask_20260521_201531_889793.jpg,hasil_tahap14/archive/integrated_20260521_201531_889793.json
integrated_20260521_201609_269065,2026-05-21 20:16:09,11.669,10.822,8.811,1112.736,185.456,1656.569,1656.569,1.656569,actual,0.149,hsv_cardboard,hasil_tahap14/archive/detection_20260521_201609_269065.jpg,hasil_tahap14/archive/mask_20260521_201609_269065.jpg,hasil_tahap14/archive/integrated_20260521_201609_269065.json
integrated_20260521_201928_301144,2026-05-21 20:19:28,6.236,6.186,5.618,216.726,36.121,282.731,282.731,0.282731,actual,0.595,hsv_cardboard,hasil_tahap14/archive/detection_20260521_201928_301144.jpg,hasil_tahap14/archive/mask_20260521_201928_301144.jpg,hasil_tahap14/archive/integrated_20260521_201928_301144.json
integrated_20260521_201939_034313,2026-05-21 20:19:39,10.645,8.704,5.037,466.726,77.788,205.325,205.325,0.205325,actual,1.165,hsv_cardboard,hasil_tahap14/archive/detection_20260521_201939_034313.jpg,hasil_tahap14/archive/mask_20260521_201939_034313.jpg,hasil_tahap14/archive/integrated_20260521_201939_034313.json
integrated_20260521_203818_430284,2026-05-21 20:38:18,10.408,8.591,4.74,423.848,70.641,553.01,553.01,0.55301,actual,0.125,hsv_cardboard,hasil_tahap14/archive/detection_20260521_203818_430284.jpg,hasil_tahap14/archive/mask_20260521_203818_430284.jpg,hasil_tahap14/archive/integrated_20260521_203818_430284.json
