measurement_id,timestamp,panjang_cm,lebar_cm,tinggi_cm,volume_cm3,berat_volumetrik_g,berat_aktual_g,chargeable_weight_g,chargeable_weight_kg,chargeable_source,actual_weight_range_g,detection_mode,detection_image,mask_image,json_file
integrated_20260522_020412_347609,2026-05-22 02:04:12,9.936,9.796,5.904,574.682,95.78,50.785,95.78,0.09578,volumetric,1.711,hsv_cardboard,hasil_tahap14/archive/detection_20260522_020412_347609.jpg,hasil_tahap14/archive/mask_20260522_020412_347609.jpg,hasil_tahap14/archive/integrated_20260522_020412_347609.json
integrated_20260522_020455_490718,2026-05-22 02:04:55,9.915,9.805,5.89,572.553,95.425,50.188,95.425,0.095425,volumetric,0.395,hsv_cardboard,hasil_tahap14/archive/detection_20260522_020455_490718.jpg,hasil_tahap14/archive/mask_20260522_020455_490718.jpg,hasil_tahap14/archive/integrated_20260522_020455_490718.json
integrated_20260522_020613_225343,2026-05-22 02:06:13,10.604,10.332,4.178,457.789,76.298,50.443,76.298,0.076298,volumetric,0.395,hsv_cardboard,hasil_tahap14/archive/detection_20260522_020613_225343.jpg,hasil_tahap14/archive/mask_20260522_020613_225343.jpg,hasil_tahap14/archive/integrated_20260522_020613_225343.json
integrated_20260522_021356_529011,2026-05-22 02:13:56,10.298,9.993,5.033,517.952,86.325,63.868,86.325,0.086325,volumetric,3.598,hsv_cardboard,hasil_tahap14/archive/detection_20260522_021356_529011.jpg,hasil_tahap14/archive/mask_20260522_021356_529011.jpg,hasil_tahap14/archive/integrated_20260522_021356_529011.json
integrated_20260522_021534_161089,2026-05-22 02:15:34,9.869,9.599,5.896,558.522,93.087,68.227,93.087,0.093087,volumetric,2.086,hsv_cardboard,hasil_tahap14/archive/detection_20260522_021534_161089.jpg,hasil_tahap14/archive/mask_20260522_021534_161089.jpg,hasil_tahap14/archive/integrated_20260522_021534_161089.json
integrated_20260522_021553_284653,2026-05-22 02:15:53,10.015,5.505,10.424,574.719,95.786,65.016,95.786,0.095786,volumetric,0.572,hsv_cardboard,hasil_tahap14/archive/detection_20260522_021553_284653.jpg,hasil_tahap14/archive/mask_20260522_021553_284653.jpg,hasil_tahap14/archive/integrated_20260522_021553_284653.json
integrated_20260522_021618_268547,2026-05-22 02:16:18,10.656,5.433,9.458,547.572,91.262,65.426,91.262,0.091262,volumetric,0.385,hsv_cardboard,hasil_tahap14/archive/detection_20260522_021618_268547.jpg,hasil_tahap14/archive/mask_20260522_021618_268547.jpg,hasil_tahap14/archive/integrated_20260522_021618_268547.json
integrated_20260522_022258_292477,2026-05-22 02:22:58,9.915,9.598,5.912,562.583,93.764,69.368,93.764,0.093764,volumetric,0.867,hsv_cardboard,hasil_tahap14/archive/detection_20260522_022258_292477.jpg,hasil_tahap14/archive/mask_20260522_022258_292477.jpg,hasil_tahap14/archive/integrated_20260522_022258_292477.json
integrated_20260522_022348_611855,2026-05-22 02:23:48,10.36,10.059,5.032,524.371,87.395,68.979,87.395,0.087395,volumetric,0.664,hsv_cardboard,hasil_tahap14/archive/detection_20260522_022348_611855.jpg,hasil_tahap14/archive/mask_20260522_022348_611855.jpg,hasil_tahap14/archive/integrated_20260522_022348_611855.json
integrated_20260522_022409_431911,2026-05-22 02:24:09,10.633,5.239,9.137,508.951,84.825,70.646,84.825,0.084825,volumetric,0.182,hsv_cardboard,hasil_tahap14/archive/detection_20260522_022409_431911.jpg,hasil_tahap14/archive/mask_20260522_022409_431911.jpg,hasil_tahap14/archive/integrated_20260522_022409_431911.json
integrated_20260522_083011_123227,2026-05-22 08:30:11,12.153,6.656,15.892,1285.391,214.232,644.024,644.024,0.644024,actual,0.248,hsv_cardboard,hasil_tahap14/archive/detection_20260522_083011_123227.jpg,hasil_tahap14/archive/mask_20260522_083011_123227.jpg,hasil_tahap14/archive/integrated_20260522_083011_123227.json
integrated_20260522_083046_053509,2026-05-22 08:30:46,13.097,7.527,14.587,1438.013,239.669,640.094,640.094,0.640094,actual,0.383,hsv_cardboard,hasil_tahap14/archive/detection_20260522_083046_053509.jpg,hasil_tahap14/archive/mask_20260522_083046_053509.jpg,hasil_tahap14/archive/integrated_20260522_083046_053509.json
integrated_20260522_083130_977294,2026-05-22 08:31:30,7.491,4.862,15.889,578.574,96.429,576.04,576.04,0.57604,actual,0.255,hsv_cardboard,hasil_tahap14/archive/detection_20260522_083130_977294.jpg,hasil_tahap14/archive/mask_20260522_083130_977294.jpg,hasil_tahap14/archive/integrated_20260522_083130_977294.json
integrated_20260522_083210_670874,2026-05-22 08:32:10,6.068,5.882,6.495,231.791,38.632,291.643,291.643,0.291643,actual,0.217,hsv_cardboard,hasil_tahap14/archive/detection_20260522_083210_670874.jpg,hasil_tahap14/archive/mask_20260522_083210_670874.jpg,hasil_tahap14/archive/integrated_20260522_083210_670874.json
integrated_20260522_083236_009332,2026-05-22 08:32:36,13.202,7.468,14.598,1439.23,239.872,648.367,648.367,0.648367,actual,0.484,hsv_cardboard,hasil_tahap14/archive/detection_20260522_083236_009332.jpg,hasil_tahap14/archive/mask_20260522_083236_009332.jpg,hasil_tahap14/archive/integrated_20260522_083236_009332.json
integrated_20260527_140755_932158,2026-05-27 14:07:55,6.184,5.914,6.222,227.58,37.93,286.039,286.039,0.286039,actual,2.3,hsv_cardboard,hasil_tahap14/archive/detection_20260527_140755_932158.jpg,hasil_tahap14/archive/mask_20260527_140755_932158.jpg,hasil_tahap14/archive/integrated_20260527_140755_932158.json
integrated_20260527_141053_700917,2026-05-27 14:10:53,8.675,7.149,4.482,277.914,46.319,579.717,579.717,0.579717,actual,0.552,hsv_cardboard,hasil_tahap14/archive/detection_20260527_141053_700917.jpg,hasil_tahap14/archive/mask_20260527_141053_700917.jpg,hasil_tahap14/archive/integrated_20260527_141053_700917.json
integrated_20260527_141219_362551,2026-05-27 14:12:19,10.623,8.827,3.635,340.888,56.815,573.523,573.523,0.573523,actual,0.567,hsv_cardboard,hasil_tahap14/archive/detection_20260527_141219_362551.jpg,hasil_tahap14/archive/mask_20260527_141219_362551.jpg,hasil_tahap14/archive/integrated_20260527_141219_362551.json
