measurement_id,timestamp,object_detected,metode_deteksi,panjang_cm,lebar_cm,tinggi_cm,tinggi_raw_cm,volume_cm3,berat_volumetrik_kg,berat_volumetrik_g,panjang_raw_cm,lebar_raw_cm,height_correction_factor,actual_panjang_cm,actual_lebar_cm,actual_tinggi_cm,error_persen_panjang,error_persen_lebar,error_persen_tinggi,base_distance_cm,distance_cm,px_per_cm_x,px_per_cm_y,panjang_px,lebar_px,angle,height_calib_a,height_calib_b,warp_output_width_px,warp_output_height_px,margin_px,diff_threshold,detection_image,mask_image,json_file
measurement_20260520_224409_511958,2026-05-20 22:44:09,True,height_gated_background_subtraction_sensor_point,10.562,8.834,4.616,4.745,430.728,0.071788,71.788,12.376,10.351,0.853447,16.5,12.8,8.5,35.988,30.981,45.693,31.498,26.753,32.0,32.0,396.023,331.248,80.404,1.34719,-1.776366,800,672,96,24,397,407,hasil_tahap10/archive/detection_20260520_224409_511958.jpg,hasil_tahap10/archive/mask_20260520_224409_511958.jpg,hasil_tahap10/archive/measurement_20260520_224409_511958.json
measurement_20260520_224414_213942,2026-05-20 22:44:14,True,height_gated_background_subtraction_sensor_point,15.815,12.953,10.087,8.806,2066.251,0.344375,344.375,23.266,19.055,0.679772,16.5,12.8,8.5,4.15,1.194,18.665,31.498,22.692,32.0,32.0,744.5,609.75,90.0,1.34719,-1.776366,800,672,96,24,397,407,hasil_tahap10/archive/detection_20260520_224414_213942.jpg,hasil_tahap10/archive/mask_20260520_224414_213942.jpg,hasil_tahap10/archive/measurement_20260520_224414_213942.json
measurement_20260520_224613_530694,2026-05-20 22:46:13,True,height_gated_background_subtraction_sensor_point,10.752,8.706,4.624,4.751,432.947,0.072158,72.158,12.602,10.204,0.8532,16.5,12.8,8.5,34.834,31.982,45.601,31.498,26.747,32.0,32.0,403.277,326.54,2.799,1.34719,-1.776366,800,672,96,24,397,407,hasil_tahap10/archive/detection_20260520_224613_530694.jpg,hasil_tahap10/archive/mask_20260520_224613_530694.jpg,hasil_tahap10/archive/measurement_20260520_224613_530694.json
measurement_20260520_224630_433832,2026-05-20 22:46:30,True,height_gated_background_subtraction_sensor_point,10.662,10.191,4.632,4.757,503.348,0.083891,83.891,12.501,11.948,0.852939,16.5,12.8,8.5,35.379,20.38,45.504,31.498,26.741,32.0,32.0,400.026,382.352,3.875,1.34719,-1.776366,800,672,96,24,397,407,hasil_tahap10/archive/detection_20260520_224630_433832.jpg,hasil_tahap10/archive/mask_20260520_224630_433832.jpg,hasil_tahap10/archive/measurement_20260520_224630_433832.json
measurement_20260520_224700_738839,2026-05-20 22:47:00,True,height_gated_background_subtraction_sensor_point,16.959,13.307,8.925,7.944,2014.077,0.335679,335.679,23.664,18.568,0.716642,16.5,12.8,8.5,2.779,3.96,5.002,31.498,23.554,32.0,32.0,757.248,594.191,0.195,1.34719,-1.776366,800,672,96,24,397,407,hasil_tahap10/archive/detection_20260520_224700_738839.jpg,hasil_tahap10/archive/mask_20260520_224700_738839.jpg,hasil_tahap10/archive/measurement_20260520_224700_738839.json
measurement_20260520_224810_059145,2026-05-20 22:48:10,True,height_gated_background_subtraction_sensor_point,8.888,8.77,3.446,3.877,268.641,0.044773,44.773,9.98,9.848,0.890586,16.5,12.8,8.5,46.133,31.482,59.455,31.498,27.621,32.0,32.0,319.36,315.127,3.409,1.34719,-1.776366,800,672,96,24,397,407,hasil_tahap10/archive/detection_20260520_224810_059145.jpg,hasil_tahap10/archive/mask_20260520_224810_059145.jpg,hasil_tahap10/archive/measurement_20260520_224810_059145.json
measurement_20260520_225435_037337,2026-05-20 22:54:35,True,hsv_cardboard,8.754,8.438,3.877,3.877,286.384,0.047731,47.731,9.983,9.622,0.876903,16.5,12.8,8.5,46.946,34.081,54.385,31.498,27.621,32.0,32.0,319.447,307.905,3.653,False,1.34719,-1.776366,800,672,96,26,397,407,hasil_tahap10/archive/detection_20260520_225435_037337.jpg,hasil_tahap10/archive/mask_20260520_225435_037337.jpg,hasil_tahap10/archive/measurement_20260520_225435_037337.json
measurement_20260520_225455_434416,2026-05-20 22:54:55,True,hsv_cardboard,6.453,6.142,5.613,5.613,222.451,0.037075,37.075,7.852,7.474,0.821809,16.5,12.8,8.5,60.891,52.016,33.969,31.498,25.885,32.0,32.0,251.27,239.159,5.209,False,1.34719,-1.776366,800,672,96,26,397,407,hasil_tahap10/archive/detection_20260520_225455_434416.jpg,hasil_tahap10/archive/mask_20260520_225455_434416.jpg,hasil_tahap10/archive/measurement_20260520_225455_434416.json
measurement_20260520_225510_851459,2026-05-20 22:55:10,True,hsv_cardboard,10.733,8.623,4.75,4.75,439.653,0.073275,73.275,12.64,10.154,0.849189,16.5,12.8,8.5,34.949,32.633,44.115,31.498,26.748,32.0,32.0,404.469,324.938,50.972,False,1.34719,-1.776366,800,672,96,26,397,407,hasil_tahap10/archive/detection_20260520_225510_851459.jpg,hasil_tahap10/archive/mask_20260520_225510_851459.jpg,hasil_tahap10/archive/measurement_20260520_225510_851459.json
measurement_20260520_225526_603526,2026-05-20 22:55:26,True,hsv_cardboard,9.967,9.687,5.908,5.908,570.425,0.095071,95.071,12.268,11.924,0.812424,16.5,12.8,8.5,39.596,24.32,30.491,31.498,25.59,32.0,32.0,392.572,381.554,8.114,False,1.34719,-1.776366,800,672,96,26,397,407,hasil_tahap10/archive/detection_20260520_225526_603526.jpg,hasil_tahap10/archive/mask_20260520_225526_603526.jpg,hasil_tahap10/archive/measurement_20260520_225526_603526.json
measurement_20260520_225549_277565,2026-05-20 22:55:49,True,hsv_cardboard,15.796,10.598,5.321,5.321,890.703,0.14845,148.45,19.007,12.752,0.831074,16.5,12.8,8.5,4.267,17.206,37.402,31.498,26.177,32.0,32.0,608.215,408.054,45.071,False,1.34719,-1.776366,800,672,96,26,397,407,hasil_tahap10/archive/detection_20260520_225549_277565.jpg,hasil_tahap10/archive/mask_20260520_225549_277565.jpg,hasil_tahap10/archive/measurement_20260520_225549_277565.json
measurement_20260520_225610_281430,2026-05-20 22:56:10,True,hsv_cardboard,12.173,10.681,8.823,8.823,1147.292,0.191215,191.215,16.911,14.838,0.719877,16.5,12.8,8.5,26.221,16.552,3.804,31.498,22.675,32.0,32.0,541.136,474.808,0.665,False,1.34719,-1.776366,800,672,96,26,397,407,hasil_tahap10/archive/detection_20260520_225610_281430.jpg,hasil_tahap10/archive/mask_20260520_225610_281430.jpg,hasil_tahap10/archive/measurement_20260520_225610_281430.json
