timestamp,base_distance_cm,distance_cm,height_cm,sample_count_raw,sample_count_filtered,raw_samples,filtered_samples,height_deadband_cm
2026-05-20 20:05:40,31.498,31.497,0.0,15,14,"[31.515, 31.478, 31.463, 31.477, 31.495, 31.504, 31.508, 31.522, 31.499, 31.481, 31.455, 31.495, 31.524, 31.501, 30.878]","[31.515, 31.478, 31.463, 31.477, 31.495, 31.504, 31.508, 31.522, 31.499, 31.481, 31.455, 31.495, 31.524, 31.501]",1.2
2026-05-20 20:05:42,31.498,31.491,0.0,15,14,"[31.504, 31.499, 88.162, 31.472, 31.52, 31.477, 31.515, 31.522, 31.494, 31.483, 31.505, 31.445, 31.487, 31.442, 31.46]","[31.504, 31.499, 31.472, 31.52, 31.477, 31.515, 31.522, 31.494, 31.483, 31.505, 31.445, 31.487, 31.442, 31.46]",1.2
2026-05-20 20:05:43,31.498,31.487,0.0,15,15,"[31.52, 31.444, 31.487, 31.471, 31.522, 31.464, 31.469, 31.506, 31.512, 31.541, 31.495, 31.471, 31.447, 31.527, 31.475]","[31.52, 31.444, 31.487, 31.471, 31.522, 31.464, 31.469, 31.506, 31.512, 31.541, 31.495, 31.471, 31.447, 31.527, 31.475]",1.2
2026-05-20 20:05:44,31.498,31.507,0.0,15,15,"[31.479, 31.452, 31.528, 31.507, 31.462, 31.465, 31.535, 31.509, 31.507, 31.5, 31.517, 31.53, 31.525, 31.5, 31.5]","[31.479, 31.452, 31.528, 31.507, 31.462, 31.465, 31.535, 31.509, 31.507, 31.5, 31.517, 31.53, 31.525, 31.5, 31.5]",1.2
2026-05-20 20:05:45,31.498,31.506,0.0,15,15,"[31.514, 31.495, 31.537, 31.459, 31.509, 31.476, 31.485, 31.506, 31.516, 31.51, 31.488, 31.51, 31.512, 31.506, 31.488]","[31.514, 31.495, 31.537, 31.459, 31.509, 31.476, 31.485, 31.506, 31.516, 31.51, 31.488, 31.51, 31.512, 31.506, 31.488]",1.2
2026-05-20 20:05:47,31.498,31.485,0.0,15,15,"[31.455, 31.5, 31.503, 31.523, 31.538, 31.429, 31.485, 31.464, 31.496, 31.511, 31.477, 31.457, 31.434, 31.492, 31.458]","[31.455, 31.5, 31.503, 31.523, 31.538, 31.429, 31.485, 31.464, 31.496, 31.511, 31.477, 31.457, 31.434, 31.492, 31.458]",1.2
2026-05-20 20:05:48,31.498,31.494,0.0,15,15,"[31.448, 31.495, 31.495, 31.467, 31.493, 31.498, 31.549, 31.499, 31.465, 31.494, 31.477, 31.52, 31.445, 31.471, 31.547]","[31.448, 31.495, 31.495, 31.467, 31.493, 31.498, 31.549, 31.499, 31.465, 31.494, 31.477, 31.52, 31.445, 31.471, 31.547]",1.2
2026-05-20 20:05:49,31.498,31.478,0.0,15,14,"[31.484, 31.507, 31.507, 31.428, 31.471, 30.68, 31.465, 31.47, 31.438, 31.525, 31.49, 31.512, 31.432, 31.45, 31.535]","[31.484, 31.507, 31.507, 31.428, 31.471, 31.465, 31.47, 31.438, 31.525, 31.49, 31.512, 31.432, 31.45, 31.535]",1.2
2026-05-20 20:05:50,31.498,31.491,0.0,15,15,"[31.5, 31.486, 31.464, 31.548, 31.532, 31.524, 31.46, 31.497, 31.491, 31.452, 31.531, 31.491, 31.464, 31.507, 31.46]","[31.5, 31.486, 31.464, 31.548, 31.532, 31.524, 31.46, 31.497, 31.491, 31.452, 31.531, 31.491, 31.464, 31.507, 31.46]",1.2
2026-05-20 20:05:52,31.498,31.491,0.0,15,15,"[31.483, 31.508, 31.495, 31.478, 31.483, 31.508, 31.479, 31.525, 31.496, 31.503, 31.489, 31.491, 31.543, 31.489, 31.44]","[31.483, 31.508, 31.495, 31.478, 31.483, 31.508, 31.479, 31.525, 31.496, 31.503, 31.489, 31.491, 31.543, 31.489, 31.44]",1.2
2026-05-20 20:05:53,31.498,31.494,0.0,15,15,"[31.478, 31.477, 31.452, 31.477, 31.504, 31.451, 31.494, 31.537, 31.496, 31.486, 31.426, 31.548, 31.521, 31.506, 31.515]","[31.478, 31.477, 31.452, 31.477, 31.504, 31.451, 31.494, 31.537, 31.496, 31.486, 31.426, 31.548, 31.521, 31.506, 31.515]",1.2
2026-05-20 20:05:54,31.498,31.488,0.0,15,15,"[31.445, 31.488, 31.505, 31.448, 31.429, 31.492, 31.5, 31.506, 31.502, 31.558, 31.453, 31.401, 31.483, 31.434, 31.515]","[31.445, 31.488, 31.505, 31.448, 31.429, 31.492, 31.5, 31.506, 31.502, 31.558, 31.453, 31.401, 31.483, 31.434, 31.515]",1.2
2026-05-20 20:05:55,31.498,31.484,0.0,15,14,"[31.45, 31.537, 31.514, 31.475, 31.45, 31.525, 31.484, 31.475, 31.486, 30.637, 31.457, 31.559, 31.466, 31.485, 31.494]","[31.45, 31.537, 31.514, 31.475, 31.45, 31.525, 31.484, 31.475, 31.486, 31.457, 31.559, 31.466, 31.485, 31.494]",1.2
2026-05-20 20:05:56,31.498,31.487,0.0,15,15,"[31.52, 31.476, 31.502, 31.457, 31.471, 31.435, 31.447, 31.433, 31.554, 31.542, 31.502, 31.494, 31.517, 31.486, 31.487]","[31.52, 31.476, 31.502, 31.457, 31.471, 31.435, 31.447, 31.433, 31.554, 31.542, 31.502, 31.494, 31.517, 31.486, 31.487]",1.2
2026-05-20 20:05:58,31.498,31.478,0.0,15,15,"[31.468, 31.478, 31.494, 31.465, 31.498, 31.447, 31.51, 31.485, 31.422, 31.492, 31.472, 31.44, 31.503, 31.471, 31.494]","[31.468, 31.478, 31.494, 31.465, 31.498, 31.447, 31.51, 31.485, 31.422, 31.492, 31.472, 31.44, 31.503, 31.471, 31.494]",1.2
2026-05-20 20:05:59,31.498,31.497,0.0,15,14,"[31.526, 31.48, 31.478, 31.478, 31.567, 28.259, 31.537, 31.497, 31.497, 31.511, 31.495, 31.526, 31.471, 31.473, 31.508]","[31.526, 31.48, 31.478, 31.478, 31.567, 31.537, 31.497, 31.497, 31.511, 31.495, 31.526, 31.471, 31.473, 31.508]",1.2
